bucket_start,n_tweets,n_scoreable,signal,ci_low,ci_high,bull_share,bull_ci_low,bull_ci_high,mean_engagement,sparse,bucket_start_ist
2026-08-04 05:15:00+00:00,2,1,,,,,,,1.3862943649291992,True,2026-08-04 10:45:00+05:30
2026-08-04 05:30:00+00:00,1,0,,,,,,,1.3862943649291992,True,2026-08-04 11:00:00+05:30
2026-08-04 05:45:00+00:00,1,1,,,,,,,2.397895336151123,True,2026-08-04 11:15:00+05:30
2026-08-04 06:15:00+00:00,1,1,,,,,,,1.3862943649291992,True,2026-08-04 11:45:00+05:30
2026-08-04 06:30:00+00:00,1,1,,,,,,,2.995732307434082,True,2026-08-04 12:00:00+05:30
2026-08-04 07:45:00+00:00,2,1,,,,,,,3.3033251762390137,True,2026-08-04 13:15:00+05:30
2026-08-04 08:00:00+00:00,4,4,,,,,,,2.0401296615600586,True,2026-08-04 13:30:00+05:30
2026-08-04 08:15:00+00:00,1,1,,,,,,,3.2188758850097656,True,2026-08-04 13:45:00+05:30
2026-08-04 08:30:00+00:00,9,7,0.1086981485710961,-0.13266751247680564,0.6120214892848146,0.5714285714285714,0.2504542304090258,0.8417830777373732,2.34302020072937,False,2026-08-04 14:00:00+05:30
2026-08-04 08:45:00+00:00,37,25,0.1920386556347694,-0.007595668668983984,0.3802225953887883,0.64,0.44518154601046633,0.7975234356826436,1.4899126291275024,False,2026-08-04 14:15:00+05:30
2026-08-04 09:00:00+00:00,135,47,0.14870617907312061,-0.02895353758376127,0.2926187064530479,0.7045454545454546,0.5577952061434273,0.818446391127567,0.9002560377120972,False,2026-08-04 14:30:00+05:30
2026-08-04 09:15:00+00:00,130,54,0.12957300320322748,0.00928204678197582,0.26177124469258584,0.6666666666666666,0.5296812196648056,0.7803024423727717,1.0256671905517578,False,2026-08-04 14:45:00+05:30
2026-08-04 09:30:00+00:00,208,80,0.11439786824662662,0.014307152783870836,0.21634947760032436,0.589041095890411,0.47449015192198346,0.6946890426809401,1.2271122932434082,False,2026-08-04 15:00:00+05:30
2026-08-04 09:45:00+00:00,221,72,0.1836721177883558,0.08205596602845679,0.2924303223932257,0.6714285714285714,0.5550071611698237,0.7700128817328218,1.1162792444229126,False,2026-08-04 15:15:00+05:30
2026-08-04 10:00:00+00:00,458,134,0.02816349841763147,-0.06786183733616678,0.12220685698785834,0.5275590551181102,0.4412015042102698,0.6122983001333028,1.375006079673767,False,2026-08-04 15:30:00+05:30
2026-08-04 10:15:00+00:00,316,96,-0.009545992774520267,-0.12276152865004661,0.08822885064394223,0.4782608695652174,0.3791196487621324,0.5791448209462197,1.1023666858673096,False,2026-08-04 15:45:00+05:30
